Issuer_Name,Issuer_Location,Issuer_Sector,Interest_Rate,Credit_Rating,Credit_Rating_Numeric,ESG_Score,Market_Demand,Inflation_Rate,Government_Support,Project_Risk,Liquidity,Currency_Risk,Issuer_Reputation,Bond_Price
ADANI RENEWABLE ENERGY RJ LTD/KODANGAL SOLAR PARKS PVT LTD/WARDHA SOLAR MAHARASH,India,Corporate - Utilities,1.3985320197126188,AA,2,68.95470243359681,105.23661378172343,1.9576568185688394,4.20896528759226,9.799144327823804,7.986873709303625,0.057163383361020226,88.21996012812872,100.66455488211079
ADIF ALTA VELOCIDAD,Spain,SSA - Agencies,2.814054972861252,B,6,66.86727733845464,109.52297327194016,2.1975553622320154,9.614175778465734,2.258814129335759,2.4330192798296713,2.1372526662124276,91.9929786337021,102.96709321740627
ADVANCE RESIDENCE INVESTMENT CORP,Japan,Financials - Real estate,3.165865559879191,AAA,1,50.966381545880054,137.19130612805054,3.2502680093562404,5.992775178235918,6.12158658943229,7.254121231929704,2.0516879716788545,64.60884016910225,103.9196187756809
ADVANCED SOLTECH SWEDEN AB,Sweden,Corporate - Energy,0.7090268572399898,A,3,56.21841995002551,107.69816124176819,2.902454299579251,8.07477935651909,4.329730498397063,0.6834837144819472,4.941949393199315,96.55142981387813,101.13086924531046
AEDAS HOMES OPCO SLU,Spain,Financials - Real estate,3.2339518335564725,AA,2,70.68213374593176,84.54808537234457,1.8533902093935244,1.0935590310947885,0.7102456764932663,9.55098556165686,2.349010378488398,77.64734467889463,99.4164205107764
AEON REIT INVESTMENT CORP,Japan,Financials - Real estate,1.2673585565928118,B,6,74.64322922237233,130.30118815263205,2.656097797918388,3.9729129294590573,4.878766059980595,1.9301498540569861,1.282091847877103,84.82695111939464,100.47087626240727
AEROPORTI DI ROMA S.P.A.,Italy,Corporate - Industrials,0.7927321684337578,BBB,4,70.21448736274345,104.0278893187421,2.2587064963422847,3.368477014471527,7.021643286483124,8.827420762070805,4.456147205157337,79.8369431389954,98.31327292443456
AES ANDES S.A.,Chile,Corporate - Utilities,4.7699849176399995,B,6,76.5468839206047,57.928028463119176,1.9771011461037467,5.694823881365918,5.132199758278188,8.094732096154345,2.4553397482678925,56.13700273373102,95.57041260701423
AES CAJUINA AB1 HOLDINGS SA,Brazil,Corporate - Utilities,4.845344148835517,BBB,4,79.75658374528408,106.58505603132467,1.0769473183530516,8.611135200614257,8.721060637465811,9.67859924081416,2.995878176052889,98.15573296924399,103.82434184181378
AES CORP/THE,United States,Corporate - Utilities,4.137788066524076,AA,2,50.49619105639178,140.80185454216624,1.8918087903646728,0.7833821776200667,2.8893701665758265,4.778906609457496,0.4783435521410634,56.14377899470763,101.95969986659938
AFRICA FINANCE CORP,Supranationals,SSA - Supranationals,1.870761961280168,BBB,4,73.2047579726752,89.63126254982205,1.237455761067724,0.7257479804471079,0.8624917130396492,7.273972938459515,1.9145820366488704,62.744097820559176,97.89602490830211
AFRICAN DEVELOPMENT BANK,Supranationals,SSA - Supranationals,0.9395245130287274,BB,5,98.17496204437941,79.63258018998,3.244526449554964,8.50317708157599,9.36565611658006,3.7071065703778405,4.721118372368934,90.68139401114901,98.22484974236346
AGDER ENERGI AS,Norway,Corporate - Utilities,3.579048619304706,BB,5,75.95161400647743,64.346945701802,1.5062204404890407,2.128500860383574,3.78196349528219,1.8436823801969382,2.9475269208771273,80.92984807505508,94.70022618714633
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,SSA - Quasi-sovereigns,2.480686221828206,BB,5,83.87711337294766,65.14455219353573,3.356792043600117,6.687532544498137,5.7640555145363335,4.430759329334489,1.7225092757123084,91.90745826881785,97.30620518516031
AGENCE METROPOLITAINE DES DECHETS MENAGERS,France,Corporate - Industrials,1.0491720568015048,AAA,1,65.59319289584415,93.2771484341819,2.099165870284134,5.428781323608051,7.9200312613019594,1.6574901538845488,3.1283359031579656,75.78680941870225,99.14364283219845
AGRICULTURAL BANK OF CHINA LTD/HONG KONG,China (mainland),Financials - Banking,2.728296095500716,AA,2,88.69956890763812,109.56798241615294,2.3946331360284807,8.328935948872294,3.243136638755806,9.82044622786384,4.552055447890581,68.84966176833174,105.03804659143552
AGRICULTURAL BANK OF CHINA LTD/MACAO,China (mainland),Financials - Banking,0.6547483450184828,B,6,88.64607409380575,58.06154051696018,2.1288213334679833,1.2508890983640353,7.161645381776111,0.9624649114071637,1.3699530023629503,96.09227497738925,92.52875195795039
AGRICULTURAL BANK OF CHINA LTD/NEW YORK,China (mainland),Financials - Banking,4.59194180935452,B,6,76.06480238270694,143.95685890251656,0.8881418509001027,1.2978296572261128,1.3541884981782804,5.892117234526204,2.525583592353372,51.812615875739745,101.8277851985633
AGRICULTURAL DEVELOPMENT BANK OF CHINA,China (mainland),SSA - Quasi-sovereigns,1.6645099172000761,AAA,1,98.80069116396068,125.51336174451959,1.627463657023823,5.568183602783075,2.9129374720550527,6.264638552540559,4.793453269558777,92.8065110176523,106.29437371840581
AGUAS ANDINAS SA,Chile,Corporate - Utilities,3.481350279592919,BBB,4,56.27751073813267,108.66239182836627,0.7974383368328718,9.46378653358371,1.447106361365199,5.380795428740543,0.8619807164922633,61.54088925938908,104.34327507760435
AIB GROUP PLC,Ireland,Financials - Banking,1.9026998424023494,AAA,1,50.84738324447905,132.84386709389906,2.368862132550145,4.1499775837075425,8.112305584013578,6.621858857118336,3.5983196279835576,92.4368163876984,102.3825753625816
AICHI PREFECTURE,Japan,SSA - Quasi-sovereigns,2.8403060953001487,BBB,4,88.50791058785481,58.01867568121133,1.8406225856013168,3.2694210025469497,2.2264923522678535,1.1618077501189095,3.0724050410149117,56.95983067084428,95.3398781635322
AIMCO REALTY INVESTORS LP,Canada,Financials - Real estate,2.9601962570447586,BBB,4,90.35777686824413,97.68388777331245,2.8339549147128107,6.066893231978858,7.174035554052103,5.550185242052911,3.398375655703174,79.01094818452702,100.04101531584314
AIR LIQUIDE FINANCE,France,Corporate - Materials,1.3318450498648717,A,3,56.01036145602881,113.00931268616634,1.1614114429981095,9.304486005450311,9.432983972456526,2.8721257112736156,1.7560981533378484,94.40539595057359,102.72576843499144
"AIR PRODUCTS AND CHEMICALS, INC.",United States,Corporate - Materials,4.863130824940513,B,6,63.2791416479303,132.86529061182893,0.9936981752880047,8.369278328446237,5.27772209068877,9.401760633010566,1.5693968674188246,73.67698234494452,104.75069353642769
AIRPORT AUTHORITY,China (Hong Kong),SSA - Agencies,3.9880977051250155,BB,5,50.877618168331445,128.34695600492677,1.7189966928913034,9.954836107332198,5.400291922606877,7.620716534397257,3.4210483529418525,87.32833369016964,104.53902904279533
AKADEMISKA HUS AB,Sweden,Financials - Real estate,4.727745237038851,BBB,4,64.66543053902824,77.70692497133996,3.2797561496551433,0.2256858320237709,4.61033568097812,9.725144821597427,1.0777164255227267,90.23358089277792,95.89936973340383
AKBANK TÃœRK ANONIM SIRKETI,Turkey,Financials - Banking,4.526723076924419,A,3,88.65709369593358,144.0880169559204,2.6312654450372355,1.1285814471276223,3.2589014339364275,0.37556069740189546,2.0982737242950256,86.82471043583897,103.07547617810668
AKER ASA,Norway,Financials - Financial services,3.1905499046498833,B,6,75.89802638562895,62.43458414308704,1.756770874378756,6.09467763366622,4.756550309249171,2.851331751807087,0.94087323026459,96.26648684372992,96.95464047967192
AKER HORIZONS AS,Norway,Financials - Financial services,4.6484340576040255,BB,5,67.40477965841441,137.51336186211523,2.051816509262932,8.205764393338498,6.028075322667594,1.95422586638349,0.04152420561664871,72.34171152599643,104.32890052747885
AKERSHUS ENERGI AS,Norway,Corporate - Utilities,0.8982162592336378,BBB,4,68.58696474531652,147.09402496046187,0.752639033531295,2.8524434230676654,9.859915721706594,0.111545873118305,4.850286800190347,58.65627195825779,99.62253439706804
AKTIEBOLAGET SKF (PUBL),Sweden,Corporate - Industrials,1.3819228808861534,BBB,4,50.06768128577341,67.71535232226256,3.453727689128339,2.3921108803421873,9.377645593182242,2.423257302463214,2.1585148932820952,52.39055318512399,91.1006463421067
AKTIEBOLAGET SVENSK EXPORTKREDIT (PUBL),Sweden,SSA - Quasi-sovereigns,0.7035228000974213,AAA,1,64.9900263782618,122.20660642037853,2.4992219140847567,7.869757993812009,8.621529582931217,6.787759835204289,4.8467480720991265,62.32299348187526,102.72707478301348
ALANDSBANKEN ABP,Finland,Financials - Banking,1.9639864884346896,AAA,1,82.32293708189653,54.02855187779985,1.3562122053902674,0.5638185385323158,8.891305357048584,2.3108892213456853,0.7016175988391304,57.1598751940121,93.699125999091
ALD,France,Corporate - Consumer Discretionary,2.249047803602669,B,6,98.70972219081786,90.5422825139155,2.2574251826457328,3.693826475825851,4.67849183292043,5.090034454826182,2.93683389728743,77.89743707172403,98.0424983689054
ALERION CLEANPOWER SPA,Italy,Corporate - Utilities,1.7210706429825315,BB,5,92.35304134919497,101.6283299197674,0.8284470982069819,5.058092225923297,6.574443271774648,8.878181149649986,1.0048701639561979,59.2472668605866,100.66320003218232
ALEXANDRIA REAL ESTATE EQUITIES INC,United States,Financials - Real estate,4.229318791183682,BBB,4,51.17974823227646,108.0645225909634,3.397510006422751,5.603486743503234,8.950667229362141,6.937579203490753,3.9503706348163736,51.94668536446856,97.58009896784242
ALGONQUIN POWER & UTILITIES CORP,Canada,Corporate - Utilities,2.105389970121152,B,6,94.92803023374196,143.59372482485594,1.0243549636500977,7.286151567927769,3.9295076499135306,3.9462906990603197,3.918514943804876,51.799491443433396,104.4263034228479
ALGONQUIN POWER CO,Canada,Corporate - Utilities,1.7642052935932133,B,6,89.15992066493129,117.22506872941946,2.4440909541656426,3.548457234306582,9.617624783454687,3.724689389121083,0.563035745196559,91.57847491824307,99.07290561382581
ALIMENTATION COUCHE-TARD INC,Canada,Corporate - Consumer Staples,2.942132374212118,AA,2,89.01880617854903,98.1277951219237,1.2363633876167914,6.126843446746072,4.15786062069183,4.5573581400848475,4.560322264381946,79.57249657215124,102.48827766784156
ALLIANDER FINANCE B.V.,Netherlands,Corporate - Utilities,1.1341590123864318,AAA,1,72.89978795017858,130.96750362658895,2.652684147945607,5.853754227909564,6.010826653932156,1.7704144105990638,0.9731482360161231,67.90426509466892,103.79451017042351
ALLIANDER N.V.,Netherlands,Corporate - Utilities,4.109886413393179,BB,5,69.90026464772514,145.0532820954409,2.8304641017208434,5.476161006537471,7.098047132723719,6.340007674159881,3.0648867079468016,94.71140213701234,103.32439736135139
ALLIED PROPERTIES REAL ESTATE INVESTMENT TRUST,Canada,Financials - Real estate,0.8354778965589686,BBB,4,65.14578644165962,52.20661486822908,2.520259186734298,6.404832931422122,9.505920130759383,3.641528191046055,4.92816810043852,53.50983057038568,92.65587226773448
ALLREAL HOLDING AG,Switzerland,Financials - Real estate,4.940991214702327,B,6,53.284742947718286,148.25212722560389,2.3434983807655776,2.594491710680763,2.4461627405226603,8.523653492620436,4.411982673831819,99.01610363639129,102.40023234399347
ALPERIA SPA,Italy,Corporate - Utilities,3.9751014618349583,BBB,4,61.41176817468495,58.61321390636803,3.177407281856035,0.8464875358462898,7.461309782386422,7.565526600578163,4.782819642805845,80.81458951272305,91.9545083100555
ALTERA SHUTTLE TANKERS LLC,Marshall Islands,Corporate - Industrials,1.3942205669037757,AA,2,62.33018174890123,131.43867792687615,0.7358801329692741,1.1927167203974343,5.208155861440822,6.1051316409216,1.712993856090597,59.17321269844243,101.29581502492798
AMAG LEASING AG,Switzerland,Corporate - Consumer Discretionary,0.5248495270562108,BB,5,74.20385348551008,78.03347525514124,1.4927442973405856,2.2458238265390107,2.6855714062064107,3.6420222264951607,0.5278782110973168,83.95345494884842,96.75986301935288
AMEREN ILLINOIS CO,United States,Corporate - Utilities,4.169576428046754,B,6,87.3722203298347,63.21796577538717,1.2448624388925378,5.001979355227853,7.766068397963906,2.099318316734844,0.9417343664472505,88.16906298917813,95.99587531778442
AMERIABANK,Armenia,Financials - Banking,3.680858047314277,BBB,4,73.69049141989733,93.9855639713835,3.4640418861962647,8.404427505460202,5.522222801738465,7.761518641056229,2.502474475383069,71.46713916853872,101.00966685993521
AMGEN INC.,United States,Corporate - Health Care,3.780532256184443,AAA,1,52.89222247235803,114.39565794476135,1.6681693390006205,7.012933420883841,6.609738206496758,4.864090989910865,3.9661483913666107,93.08163031227737,103.25484096860521
AMIPEACE LTD,Virgin Islands,Financials - Financial services,3.970716560086756,AA,2,97.8894900494102,88.09518450234751,2.6978380977211964,7.890406042020471,3.22901068577901,2.247500381773575,0.7507682209193761,57.53662036482351,102.72677134446022
AMPRION GMBH,Germany,Corporate - Utilities,0.8332009328034067,BB,5,97.13621595470562,55.456540828269894,2.5541754916430137,3.5097562392609136,4.81273951827605,1.9517461504000622,3.2986576613037855,63.94187917888042,93.90477769087605
ANA HOLDINGS INC,Japan,Corporate - Consumer Discretionary,2.113095778449227,AA,2,89.25947715742042,109.94611396587166,1.1362437124321332,4.046537416485502,6.17354250988067,1.6540090450135903,1.6178880201975594,54.67461807919949,101.14250016296637
ANALOG DEVICES INC,United States,Corporate - Technology,1.0214107678630837,AAA,1,99.56639507821103,140.24032761106747,1.2169930406346539,3.9368188599061282,4.04910814269844,7.77161196205595,1.7060103619607676,60.54389203036761,106.42311792581431
ANEMUS WIND HOLDING SA,Brazil,Corporate - Utilities,4.383965416440171,BB,5,77.22411664001315,88.32153659472516,1.3438536906591023,1.9187318440450152,1.9837253984770131,2.289871853003117,3.3095886507896317,61.93644059555725,96.95261547372083
ANGLIAN WATER SERVICES FINANCING PLC,United Kingdom,Corporate - Utilities,3.304841570724011,AA,2,98.13841751266031,71.6332777630827,1.7333818347781378,0.6121665814357202,9.61640492315304,5.266422635251975,2.334997097666101,95.8816595460855,96.4754696456006
ANHUI PROVINCE ENERGY GROUP CO LTD,China (mainland),Corporate - Utilities,1.9890411118369213,A,3,53.78025203083754,94.25773459328154,1.2029751969515803,5.909160928272268,5.114675400426174,4.515463609730564,4.06016646512997,53.90548443755781,98.71930640487636
ANSTEEL GROUP MINING CO LTD,China (mainland),Corporate - Materials,0.7860125762871064,AAA,1,68.28403741306857,54.83627110487809,0.5589544482405434,9.892166834205861,7.339203702877005,5.796108992282839,0.7795925483141353,71.37075600938547,100.37375919648203
AOC I DIE STADTENTWICKLER GMBH,Germany,Financials - Real estate,1.89942044772048,AAA,1,61.26906340033829,132.04875844802748,3.1381791704215862,1.6682970495026284,4.110471935560581,8.771549003711943,3.9497413488351922,76.61993436134566,101.90425596236093
AOZORA BANK LTD,Japan,Financials - Banking,1.9633249491203617,AAA,1,59.7916542067135,132.63408109501867,3.3968294941426525,0.46684819899273755,3.5513176402571633,8.677473900817306,0.32117624028710434,94.93465269010804,102.64319325931946
APPLE INC.,United States,Corporate - Technology,3.783227802521288,A,3,57.0401474446338,108.80004634296284,1.5247111610947037,7.795316818239329,4.07164298467125,4.510760718248596,0.970269401228025,99.88481093306068,103.90956510433188
AQUAFIN NV,Belgium,Corporate - Industrials,3.369008621098459,A,3,81.12068207829984,85.31028889383896,1.5155206382764186,2.525860066847242,4.091966437856498,0.15366250734723308,3.2807485725158267,87.66940574599178,98.02717028813908
ARAB PETROLEUM INVESTMENTS CORP,Supranationals,SSA - Supranationals,4.49245734159347,BBB,4,89.06609278736525,129.97833644457833,0.521275438323113,8.296438053529284,5.441801159419536,4.264438057143032,4.274628282555356,98.53954952845147,106.25456455820569
ARBORG,Iceland,SSA - Quasi-sovereigns,2.6249671632287717,B,6,78.91491997101804,105.46870247883672,2.540752064991122,7.039366670345154,5.434698699813632,6.061935374241404,1.2633981386967452,89.3550566267937,101.12263602727145
ARCA CONTINENTAL BEBIDAS S DE RL DE CV,Mexico,Corporate - Consumer Staples,1.0381741067223578,AA,2,57.34813547941049,132.59323085500162,2.976319687245886,9.456735370508046,4.971538158828716,5.577647590980618,1.6359580291445646,98.16013204857083,106.29618696145195
ARÃ‡ELIK  AS,Turkey,Corporate - Consumer Discretionary,3.7096015425034774,BBB,4,90.55618849667354,113.14587925830206,0.9398249010800095,4.0892723575667205,1.347857849174381,6.513361058002055,2.6856037414336997,85.36353629722277,103.50408830095037
ARDAGH METAL PACKAGING FINANCE PLC,Ireland,Corporate - Materials,3.9235327187760385,AA,2,81.79773535818643,128.44054732127972,0.9789990481014522,6.619698394506342,4.960754785005311,1.5407573247308348,1.0578640324465116,53.98817127255355,104.85065087112469
ARENDALS FOSSEKOMPANI A/S,Norway,Corporate - Utilities,3.025747389062733,B,6,69.40828530634977,109.85629932177599,2.870249749914313,4.648547808132707,1.6910390042065149,6.465350987807326,4.0557813079375284,70.09600934963382,99.48839586297271
ARGENTA SPAARBANK N.V.,Belgium,Financials - Banking,3.9693523097955246,A,3,83.70651477680315,91.41410682156662,2.348872245062434,6.305886973085435,1.2613578629576516,1.8265161874377223,3.8681832250288037,82.32986419012352,101.50540485072422
ARGOSY PROPERTY LTD,New Zealand,Financials - Real estate,2.7220801836397586,B,6,62.995248962141645,145.79458599261375,0.634581672883151,4.495989060077373,9.326457173411677,7.50523980696749,0.7264585598289081,67.53592547271255,101.91208621128564
ARION BANK HF,Iceland,Financials - Banking,2.852297732218973,A,3,67.25961042471053,104.11138248788447,2.367640971386845,1.8863224642407483,6.049500131477043,3.3908761326267998,2.3191486590831607,63.66919590568893,97.65668496152223
ARISE AB,Sweden,Corporate - Utilities,2.423934582613473,B,6,95.87429215659951,110.50895185405383,1.4267531685312982,5.078974160033809,6.5949005812458426,7.098954333814536,3.874138833273107,78.86996335665455,100.49519389848606
ARKEMA SA,France,Corporate - Materials,0.6143860703484283,BBB,4,64.52522528357102,72.04876394147493,1.6061754664125378,5.285842014374423,4.017936703333637,0.4786559890610709,1.686647655517074,96.67509383512174,97.4071090425615
ARLA FOODS AMBA,Denmark,Corporate - Consumer Staples,0.98551142146987,BB,5,73.49941340789684,112.56507894272764,2.809194254890641,8.10603848260161,9.089808919148641,4.078600255909134,3.1655341135886585,51.74909367580768,99.39702709163798
ARRIVAL SA,Luxembourg,Corporate - Industrials,0.6414313355903041,BBB,4,94.50705686980073,107.16076494829439,2.932805578017832,7.355207057935812,6.379304895796655,7.050345222633327,0.25106560728786365,88.46156017707189,102.98953817659115
ARTHALAND CORP,Philippines,Financials - Real estate,3.3638468506870116,AA,2,85.38606751337637,68.48383979470249,1.701069880519492,6.637916239414441,7.691698695235875,2.2687051633149413,3.04344380264659,86.13636390223135,98.94404060005293
ARWIDSRO FASTIGHETS AB,Sweden,Financials - Real estate,1.91460191484347,BBB,4,53.110161308235135,55.95870973531437,3.3414588080190644,1.1338709555257254,3.6856246902771383,7.952870447972225,0.763264900003035,98.19767126941436,93.82497257612559
ASAHI GROUP HOLDINGS LTD,Japan,Corporate - Consumer Staples,2.7885681102411626,AAA,1,57.36515221394852,110.43593197147712,1.7193881538562166,7.20616290663715,9.600118808191255,6.307797331049319,4.1529166255722565,96.53556111662718,102.41470338790931
ASAHI HOLDINGS INC,Japan,Corporate - Industrials,4.584049132667419,AA,2,50.392079538595844,126.36922693503206,2.8155081056903297,5.003051563545148,8.20461290158315,5.875617721497983,1.7772473179023924,88.11162810220964,102.05724302871323
ASAHI KASEI CORP,Japan,Corporate - Materials,1.6218150311699373,B,6,81.54608951145818,102.34013709220082,1.9516317936927772,8.940995361061592,8.539484630145436,3.535488542043371,1.4077693136409786,76.02043823412993,100.46420672640063
ASAHI PRINTING CO LTD,Japan,Corporate - Materials,2.3467231536603337,AA,2,72.38367127052092,72.67726253196457,3.192596979566252,9.198709341305428,1.7219426742575428,4.824514703811175,4.204444883557425,60.21337766167599,100.58140065227485
ASCENDAS REAL ESTATE INVESTMENT TRUST,Singapore,Financials - Real estate,3.899980123443719,BB,5,56.713742545113774,116.65219766930349,3.223283730950536,0.5515659060178546,2.709632078712195,5.973493009778531,0.25072011535905103,77.26178591627871,98.38197290532241
ASE TECHNOLOGY HOLDING CO LTD,Taiwan,Corporate - Technology,1.529591744712301,A,3,97.89670605283852,58.01057266096022,0.7622504236132516,8.206415603544787,2.856265996835771,4.724621139148905,1.983043996671724,88.26759969598268,101.21019599072278
ASIAN DEVELOPMENT BANK,Supranationals,SSA - Supranationals,0.8464095942295684,B,6,76.482986197281,94.18337048019546,3.309479993930677,0.3769739042267062,2.709092232468712,6.983133239405602,1.850017702875157,94.78346063189466,96.32317175215542
ASJA AMBIENTE ITALIA,Italy,Corporate - Energy,1.8038815381119562,AA,2,62.09466470564446,66.33667583984202,2.976604524561247,3.6716962569502263,8.55408162104288,4.336969331069596,1.4240018712477542,89.48560046052745,95.6265148703284
ASML HOLDING N.V.,Netherlands,Corporate - Technology,1.2254957926430199,B,6,75.03017855773538,68.44590510598834,2.8739321429380005,5.422999756210791,0.3188479520859211,2.0227318174203033,4.558771660007385,59.7633467595527,95.48686684046278
ASSICURAZIONI GENERALI S.P.A.,Italy,Financials - Insurance,4.683639435541579,B,6,83.98101663675538,70.22939491582036,1.1027340190565673,1.4810079862712744,0.760999889807743,2.1393378280104725,3.7546419675836114,79.98431571140297,95.68695600218328
ATENOR,Belgium,Financials - Real estate,4.136541708039877,B,6,53.81196089867822,88.67070570439779,2.9153576262639946,7.463138125690768,2.739148706299037,0.05803768842941093,0.3196158209596939,66.60867297656785,98.22033238594108
